label,Category,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,Continental arc,14.71,1481.12,8781.18,68.63,101.2,0.04,17.87,2.85,4.98,2.41,42.35,14.06,128.91,59.57,236.11,46.77,375.44,67.53
0,Continental arc,15.59,1880.15,8613.5,95.01,131.21,0.04,17.4,2.89,5.81,2.7,48.01,16.42,188.9,73.37,325.48,64.67,514.37,90.89
0,Continental arc,16.34,1809.77,8137.91,96.74,150.22,0.04,19.39,4.01,7.78,3.72,60.35,19.45,213.13,73.21,327.96,70.61,579.65,106.97
0,Continental arc,16.37,1307.1,8371.11,58.65,81.58,0.04,16.3,2.88,6.63,2.97,50.14,15.16,128.92,53.29,223.03,43.11,345.54,60.12
0,Continental arc,18.62,3732.08,10505.54,434.48,1127.82,0.04,64.95,3.34,9.58,6.6,88.83,31.37,340.56,127.43,528.49,105.9,890.88,149.5
0,Continental arc,19.72,2331.73,8996.65,132.4,161.77,0.04,23.66,3.62,8.02,4.33,80.69,26.58,237.94,103.49,449.83,88.19,682.12,111.76
0,Continental arc,9.1,472,11390,49,85,0.037,12,0.6,1.48,0.608,10,3.2,36,15,71,18,161,34
0,Continental arc,4.12,1139.63,10343,172,249,0.037,25.88,1.25,2.97,1.08,21.93,8.28,155.44,39.83,200.13,48.02,431.33,84.84
0,Continental arc,3.37,1633.5,10186,1172,1427,0.034,63.95,1.34,4.04,1.4,48.41,20.02,255.71,109.92,576.11,134.35,1205.73,239
0,Continental arc,14.6,793,10096,76,88,0.033,24,2.5,4.67,1.838,27,7.8,80,30,133,29,252,48
0,Continental arc,3.1,643.86,10795,127,299,0.033,21.48,0.24,0.87,0.33,9.3,4.65,66.77,28.1,145.81,37.29,347.94,71.85
0,Continental arc,3.44,1290.97,11598,200,311,0.032,35.6,0.89,2.35,0.84,23.3,8.66,101.86,45.73,221.53,49.97,457.24,92.42
0,Continental arc,3.43,1001.73,11129,354,511,0.031,51.2,0.49,1.65,0.49,15.22,6.07,91.85,35.42,178.59,42.93,386.34,77.78
0,Continental arc,2.9,333,13366,70,334,0.031,11,0.2,0.6,0.355,5,1.9,25,11,61,16,178,44
0,Continental arc,3.19,621.45,13588.66,35.7,336.95,0.03,7.7,0.24,0.79,0.5,10.96,4.03,52.26,21.93,111.33,26.33,245.97,52.06
0,Continental arc,3.52,598.24,12671.72,117.28,200.68,0.03,12.58,0.69,1.51,0.67,14.48,5,55.81,23.55,94.97,20.61,183.49,35.76
0,Continental arc,3.66,861.68,10764.6,81.11,272.44,0.03,12.4,0.37,1.38,1.03,18.08,6.69,77.69,32.36,160.37,37.39,334.21,67.83
0,Continental arc,4.07,934.94,11614.27,43.69,354.89,0.03,8.74,0.42,1.61,0.84,17.83,7.14,78.82,34.19,163.71,37.87,350.74,71.05
0,Continental arc,4.51,791.41,12619.69,53.81,274.02,0.03,13.77,0.34,1.45,0.84,15.54,6.57,70.18,28.64,147.57,33.47,307.74,63.27
0,Continental arc,5.46,775.38,10613.95,44.66,176.6,0.03,12.41,0.43,1.33,0.71,15.89,5.51,68.17,28.28,131.58,30.29,272.59,55.03
