Age (Ma),Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu/Eu*,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,,2 settings（ssrf）,2 settings（rf）,7 detailed settings（ssrf）,7 detailed settings（rf）
3452,5.606048325,3458.94625,8720,170.1,242,0.103,19.06,8.79,17.7,0.325961164,97.4,30.3,328,109.5,425,82.7,674,111.7,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
2520,7.12,410,8160,42.9,86.2,0.1,7.29,2.98,2.42,0.437762927,10.1,2.99,35.1,13.6,63.6,15.6,157,28.1,,Continental,Continental,Continental arc,Continental arc
3271,18.5,1269,13200,136,230,0.1,13.4,3.5,5.1,1.131122879,40,24,181,42,136,24,221,42,,Continental,Continental,Continental arc,Continental arc
3422,4,690,12000,121,218,0.1,16.7,1.9,2.8,0.43817589,14,6,56,22,95,22,199,44,,Continental,Continental,Continental arc,Continental arc
3450,5.6,854,14500,145,259,0.1,12.6,1.9,2.8,0.834794604,21,12,98,26,96,20,182,37,,Continental,Continental,Continental arc,Continental arc
3462,3.092330632,695.94625,10370,67.4,194.5,0.093,21.7,1.76,3.07,0.384570644,17.7,5.6,64,24.1,102.7,22.97,219.7,37.8,,Continental,Continental,Continental arc,Continental arc
3275,5.6,1028,12500,144,256,0.09,16,2.9,4.8,0.736725111,26,13,106,33,122,27,245,52,,Continental,Continental,Continental arc,Continental arc
3466,3.613144212,685.94625,9030,70.8,142.4,0.09,11.4,1.56,2.94,0.431924297,16.27,5.43,59.6,22.8,101.5,23,218,41.5,,Continental,Continental,Continental arc,Continental arc
3378,11.2,3093,9300,334,350,0.08,19.5,13.2,22.4,0.617898625,96,36,300,99,385,80,680,135,,Continental,Continental,Continental arc,Continental arc
3387,4.220760055,654.94625,9530,76.3,170,0.08,15,1.4,2.8,0.374791001,15.5,4.96,57,21.74,97.8,21.94,211.6,40.1,,Continental,Continental,Continental arc,Continental arc
3450,8.7,1453,13500,229,316,0.08,18.4,5.8,7.9,0.744241256,43,21,166,48,170,34,307,63,,Continental,Continental,Continental arc,Continental arc
3450,34.1,2461,11600,221,445,0.08,19.6,3.2,6.8,1.09765182,69,44,342,83,250,48,386,73,,Continental,Continental,Continental arc,Hotspot-MOR
3678,28.8,2070,13500,180,308,0.08,14.8,2.9,6.9,0.99548413,61,39,296,71,215,38,343,66,,Continental,Continental,Continental arc,Continental arc
2522,7.43,563,10294,110.51,320.47,0.0774,14.71,2.12,4.51,0.63611185,19.76,5.79,59.35,19.61,79.18,18.64,206,40.57,,Continental,Continental,Continental arc,Continental arc
3452,2.777672427,516.34625,9780,54.9,145.4,0.071,10.64,0.8,2.17,0.338561742,10.14,3.4,40.6,16.14,75,17.62,174.3,36.47,,Continental,Continental,Continental arc,Continental arc
3349,38.9,3098,11900,228,404,0.07,14.7,4.8,12,1.38743723,119,66,459,106,311,54,432,83,,Continental,Continental,Continental arc,Hotspot-MOR
3377,22.8,2379,13400,207,393,0.07,18.4,3.4,6.4,1.311333095,61,45,359,87,263,50,431,83,,Continental,Continental,Continental arc,Continental arc
3781,15.8,801,9160,56,111.8,0.066,7.23,0.835,1.85,0.238229742,12.05,4.54,57.8,23.56,119.3,26.17,258.2,54.6,,Continental,Continental,Continental arc,Continental arc
2374,10.2,582,11217,42.2,208,0.065,3.91,0.24,0.98,0.39713464,8.23,3.4,45.9,19.3,95.4,23.8,252,42.7,,Continental,Continental,Continental arc,Continental arc
3450,11.1,1004,12700,132,262,0.06,16.7,2,3.3,0.805440137,25,15,126,36,125,25,225,48,,Continental,Continental,Continental arc,Continental arc
3450,19.9,1655,13333,192,319,0.06,16.1,2.5,4.8,1.278959338,50,33,256,62,183,32,275,52,,Continental,Continental,Continental arc,Continental arc
3489,3.8,787,11600,124,187,0.06,23.3,3.7,5.2,0.836932365,20,7,72,26,106,24,236,49,,Continental,Continental,Continental arc,Continental arc
3436,2.5,597,9580,67.7,213,0.056,9.36,1.03,2.17,0.373076803,14.1,4.54,54.7,19.9,91.2,19.8,178.9,33,,Continental,Continental,Continental arc,Continental arc
3464,2.6,591,10020,62.8,174,0.054,16.2,0.94,2.37,0.391027348,15.6,4.85,55.4,20.1,91.9,20.7,197,35.7,,Continental,Continental,Continental arc,Continental arc
2564,5.38,1197,9139,68.54,146.72,0.051,7.44,2.49,4.88,0.312169649,25.84,9.32,113.37,42.39,184.87,43.92,485,95.88,,Continental,Oceanic,Continental arc,Continental arc
2624,6.63,244,11127,27.5,107,0.05,6.43,1.61,1.7,0.456255804,5.8,1.71,19.4,7.89,37.8,9.47,101,18.4,,Continental,Continental,Continental arc,Continental arc
3450,21.3,1419,13700,185,321,0.05,14.2,3.5,6,1.020742898,50,24,180,47,160,33,279,58,,Continental,Continental,Continental arc,Continental arc
3702,4.4,893,13600,101,244,0.05,11,1.8,4.2,0.798216315,20,11,100,31,117,25,234,47,,Continental,Continental,Continental arc,Continental arc
2627,5.21,382,10191,137,179,0.044,10.6,0.67,1.41,0.308356881,8.49,2.76,33.6,12.7,57.4,14.3,145,25.3,,Continental,Continental,Continental arc,Continental arc
2162,7.2,301,10602,66.3,697,0.042,6.22,0.67,0.91,0.295399393,6.74,2.3,27.3,9.88,40.3,8.85,89,14.9,,Continental,Continental,Continental arc,Continental arc
3464,4.112257226,720.94625,9410,90,179.7,0.041,15.06,1.12,2.92,0.342252721,15.24,5.12,59.3,23.28,107.2,24.14,232.5,45.76,,Continental,Continental,Continental arc,Continental arc
3450,10.9,1177,12400,121,299,0.04,13.9,1.3,3.2,0.964439697,30,17,139,38,126,28,234,48,,Continental,Continental,Continental arc,Continental arc
3450,20.6,1655,12200,177,339,0.04,13.3,3.4,5,0.964123132,52,28,190,45,137,28,225,44,,Continental,Continental,Continental arc,Continental arc
